source,link,extracted_text,published
www.fool.com,https://www.fool.com/investing/2025/06/22/brilliant-growth-stocks-buy-now-hold-long-term/?.tsrc=rss,"Not all of the growth stocks featured here will likely deliver outsize returns, so it makes sense to spread portfolio risk around a collection of holdings. In that line of thought, here are 10 growth stock ideas for investors to consider. They range from a couple of high-profile household names, such as Tesla (TSLA -0.09%) and Delta Air Lines (DAL -0.76%), to companies like Navitas Semiconductor (NVTS 0.14%) and Synopsys (SNPS -0.71%), which are less well known.

You might want to consider buying and holding any (or all) of these equities long-term.

Tesla's robotaxis are a game-changer

The key to the investment case for Tesla lies in its promised robotaxis and unsupervised full self-driving (FSD) software, which is scheduled to launch on a limited basis beginning this week. Tesla is already a highly successful automaker and the dominant player in electric vehicles (EVs) in the U.S., and robotaxis offer the prospect of transforming it into a company able to generate high-margin and recurring revenue from owning its robotaxi fleet or revenue sharing from Tesla's transformed fleet using Full Self-Driving (FSD) software.

There's also the dedicated robotaxi, Cybercab, and the potential to sell FSD on a subscription basis. And all of it will be supported by Tesla's market-leading position in EVs and its ability to develop affordable EVs in the future.

Next-generation data centers

Nvidia partners Navitas Semiconductor and Vertiv (VRT -0.45%) and the next generation of data centers, namely 800-volt (V) high voltage direct current (HVDC), which I've discussed in more detail elsewhere, so investors with the time and inclination can peruse. Nvidia believes they will be more efficient, with lower maintenance costs and significantly lower costs of ownership.

The new data centers, scheduled for 2027, employ a different power conversion method, and Navitas is developing Gallium Nitride (GaN) and Silicon Carbide (SiC) power semiconductors to enable more efficient power conversion in 800V HVDC data centers.

Similarly, another Nvidia partner, and leading data center equipment provider, Vertiv, is developing critical power and cooling equipment and systems for the new data centers and expects to have them available in the second half of 2026, in time for the launch of the 800V HVDC data center in 2027.

What makes both companies particularly interesting is that, unlike their rivals, they are more like pure plays in their end markets. For example, Navitas specializes in GaN and SiC chips for power conversion (not silicon), and 80% of Vertiv's revenue comes from data centers.

Aehr Test Systems is opening up new end markets

Speaking of SiC and GaN chips, Aehr's (AEHR -3.13%) stock has soared recently on speculation that Navitas might be a customer for Aehr's testing and burn-in equipment. Aehr's equipment helps semiconductor manufacturers ensure quality and reliability throughout the manufacturing process.

Aehr has struggled recently as its revenue at SiC customers, including ON Semiconductor, has declined in light of pullbacks in EV investment. Still, Aehr is making good progress in opening up and winning customers in new markets, including GaN semiconductors and semiconductors for artificial intelligence (AI) processing.

Synopsys and the future of semiconductors

Synopsys is a leader in electronic design automation software (used to design and verify chips), and its intended acquisition of engineering simulation and analysis company Ansys is a key event. The aim is to create a company offering design software, as well as simulation and analysis software to test the fruits of the design. It will also open up Synopsys' solutions to Ansys' wider range of end-market customers, particularly as semiconductors and electronics are increasingly being embedded in a range of new industries.

Hexcel is the future of aerospace

The advanced materials company's lightweight composites are the future of the aerospace industry, as every new generation of airplane contains more composites. This means Hexcel (HXL 0.07%) can grow as airplane production increases (Airbus and Boeing have multiyear backlogs in place) and new, more composite-rich airplanes are developed.

Hexcel has faced headwinds in recent years as Airbus' and Boeing's delivery rates have fallen short of expectations, but it's only a matter of time before they improve.

Cognex's machine vision has long-term growth prospects

Cognex (CGNX -1.33%) is another company with excellent long-term secular growth prospects (the use of machine vision in automated processes) that has suffered near-term headwinds (weakness in key end markets like automotive and consumer electronics). Still, this is a temporary slowdown in a long-term growth story.

PTC, Trimble, and the growing interface between the digital and physical worlds

PTC (PTC 0.28%) provides computer-aided design (CAD), product lifecycle management (PLM), and other solutions essential to creating a so-called ""digital thread"" for a physical product as it moves from design through manufacturing, use, servicing, and ultimately disposal. As such, it's a leading player in the digitization of the industrial sector.

Trimble's (TRMB 0.18%) precise positioning hardware (its origins) and growing software/services also make it a leading play on digitization. In Trimble's case, it's about integrating physical positioning with the digital world, such as in construction and infrastructure work, transportation, and geospatial activities. Through the use of advanced analytics in the digital world, Trimble's solutions can be integrated into its customers' daily workflows.

Delta Air Lines is different now",2025-06-22 09:10:00
ca.finance.yahoo.com,https://ca.finance.yahoo.com/news/tesla-tiptoes-long-promised-robotaxi-080320575.html?.tsrc=rss,"SAN FRANCISCO (Reuters) -Elon Musk's vision of Tesla's future is set for a public test on Sunday, when a dozen or so self-driving cars in Austin, Texas start a limited, paid robotaxi service.

Though Tesla is dispensing with a webcast product launch event helmed by Musk, fans will be scouring the internet for videos and reports from the coterie of invited riders that will be allowed to hail the small stable of Model Y SUVs for trips within a limited area of the city, accompanied by a Tesla safety monitor in the front passenger seat. The driver's seat will be empty.

""Wow. We are going to ride in driverless Teslas in just a few days. On public roads,"" posted Omar Qazi, an X.com user with 635,200 followers who writes often about Tesla using the handle @WholeMarsBlog and received an invite.

The service in Austin will have other restrictions as well. Tesla plans to avoid bad weather, difficult intersections, and won't take anyone below the age of 18. Musk has said he is ready to delay the start for safety reasons, if needed.

Tesla is worth more than most of its biggest rivals combined, and Musk has said that is supported by the company's future ability to create robotaxis and humanoid robots. For years, he has promised self-driving cars were just around the corner.

Commercializing autonomous vehicles has been risky and expensive. GM's Cruise was shut down after a fatal accident and regulators are closely watching Tesla and its rivals, Alphabet's Waymo, which runs a paid robotaxi service in several U.S. cities, and Amazon's Zoox.

Tesla is also bucking the young industry's standard practice of relying on multiple technologies to read the road, using only cameras. That, says Musk, will be safe and much less expensive than lidar and radar systems added by rivals. Nonetheless, Musk says he is being ""super paranoid about safety"" with the rollout.

""So far, this launch lags significantly behind the company's promise and what competitors have already delivered,"" said technology researcher Forrester's principal analyst Paul Miller.

Fans have welcomed the caution and the long-awaited arrival. Qazi said on X, Tesla was launching ""extremely cautiously, which is good.""

(Reporting by Abhirup Roy in San Francisco; Editing by Peter Henderson)",2025-06-22 08:03:20
finance.yahoo.com,https://finance.yahoo.com/m/16e8cdd9-0567-3c05-b426-71e58c74b448/tesla-launches-its-austin.html?.tsrc=rss,"Tesla launches its highly anticipated robo-taxi service on Sunday. It’s a big deal for the company, the car industry, and the tech world.",2025-06-22 04:01:00
www.fool.com,https://www.fool.com/investing/2025/06/21/what-if-elon-musk-is-right-about-us-national-debt/?.tsrc=rss,"The highly public spat between Tesla CEO Elon Musk and President Donald Trump over the One, Big, Beautiful Bill highlights an ongoing, decades-long debate over national debt. The focus of this article is to explore a potential scenario and suggest a way to invest in protection against it.

That path is via life and retirement insurance companies like Prudential Financial (PRU 0.18%), MetLife (MET 0.84%), and Corebridge Financial (CRBG 0.18%). Here's why.

Rising debt, rising debt servicing payments

This chart gets to the heart of the matter. As shown below, the U.S. national debt has increased substantially, and so has the level of debt in relation to the country's gross domestic product (GDP). The shaded areas show recessionary periods, including the financial crisis of 2008-2009 and the pandemic, whereby GDP contracted and spending soared, so naturally, the debt-to-GDP ratio did, too.

Still, the response in both cases was the same: more spending and more debt.

Musk's view is that the national debt issue needs to be addressed as it's out of control and has the potential to saddle Americans with an unsustainable debt burden, which the bill will exacerbate. To be fair, the Trump administration's aim is not to increase the deficit as officials believe it will lower the deficit, through implementation of mandatory savings and promoting GDP growth.

Again, this is not the place to debate that matter. However, what if Musk is right and the U.S. continues down the path of rising debt?

Higher interest rates could be around the corner

Rising debt levels and debt servicing payments imply more debt issuance. Simple economics argues that, unless demand improves, the rising supply of debt will lead to a rise in the price of debt. In other words, long-term interest rates will rise, and could be higher than the market is expecting.

The chart below indicates that the market is comfortable with the matter and isn't attaching a significant premium (beyond the usual premium to reflect the increased risk of holding longer-dated debt) to long-term interest rates over medium-term rates.

But the market could be wrong. And while Musk's primary concern appears to be the difficulty of cutting rates caused by rising debt, it's only a short step away to argue that rising debt could lead to higher long-term interest rates.

Stocks to buy in a rising rate environment

The situation might not be catastrophic, but interest rates could be higher than anticipated. It's not an ideal scenario for stocks overall, as it makes them relatively expensive compared to bonds. However, there is one sector that could do well, namely life and retirement insurers such as Prudential Financial, MetLife, and Corebridge.

These insurance companies pick up premiums from policyholders. The policies create long-term liabilities for insurers that they need to balance against their assets. As such, they tend to invest in relatively low-risk assets, such as government debt. While rising interest rates will reduce the value of the existing debt holdings, they will also increase the discount rate used to calculate the net present value of their liabilities.

Consequently, as rates rise, insurers will be able to buy corporate bonds, mortgage loans, and government debt at higher rates. Here's a breakdown of all three insurers and the assets they hold in their general accounts, which are used to match their liabilities.

As indicated above, the assets in their general accounts are fixed income and relatively safe investments, giving all three companies good exposure to the theme of higher long-term rates.

Stocks to buy?

It's important not to be too alarmist here. The debt problem is undoubtedly an issue, but it's very hard to predict where interest rates, or total interest payable, will be. That said, if you are a young person worried about the public debt burden and the possibility of higher rates over your lifetime, then it makes sense to buy stocks in this sector as a form of (I'm avoiding the obvious word) matching your assets to your potential future liabilities from rising public debt servicing costs.",2025-06-21 20:10:00
www.fool.com,https://www.fool.com/investing/2025/06/21/better-ev-stock-ford-vs-tesla/?.tsrc=rss,"-The comparison between Ford (NYSE: F) and Tesla (NASDAQ: TSLA) is valuable and valid because it speaks to where the auto industry is headed and highlights the relative position of each company as it moves toward electric vehicles and robotaxis. Whether it's a legacy automaker (Ford) or a dedicated battery electric vehicle company(Tesla), the key opportunities and challenges are the same. So, which company is better placed to thrive in the future?

Affordable electric vehicles and robotaxis

Tesla's launch of its full-self-driving (FSD) robotaxi is sometimes seen as a tactical move as its electric vehicle (EV) sales and market share come under pressure in 2025, but nothing could be further from the truth. The reality is that major automakers, including Ford, and leading technology companies have invested billions in robotaxis and autonomous driving, and it's an integral part of the future of the auto industry.

The reason behind the investment is a recognition that robotaxis have huge profit potential, not least because they offer a long stream of recurring income from ride-per-mile revenue.

Another reality is that EVs are not cheap, and if they are the future of the auto industry, automakers need to make them more affordable. They also need to offer robotaxis to make mobility more affordable.

However, don't take my word for it. Here's Ford's CEO Jim Farley in 2019 on autonomous driving and robotaxis: ""The self-driving system is incredibly important to develop, but it's just one part of building a safe and scalable self-driving service that consumers can trust."" Farley went on to outline a timeline for a ""commercial self-driving service"" in 2021, which Ford would fail to achieve.

As for affordable EVs, last year, Farley reiterated the need to offer smaller and more affordable EVs to achieve profitability as an EV maker.

The two things are strongly connected. You can't have robotaxi EVs if the vehicles aren't affordable. That's a point that resonated during a recent CNBC interview with Waymo, which has a robotaxi service already in place, yet co-CEO Tekedra Mawakana declined to outline a timeline for the company's profitability. Waymo's lack of profitability means its owner, Alphabet, is going to have to invest significant sums, at a loss, if it wants Waymo to build scale. That creates a huge opportunity for a company like Tesla that is just entering the market and potentially offers a much more commercial and scalable service.

Tesla's advantage in scaling robotaxis lies in its ability to transform existing Tesla vehicles into robotaxis, as well as its capability to produce a dedicated robotaxi, the Cybercab. Unlike Waymo, Tesla doesn't need to partner with automakers to build scale. Moreover, Musk has disclosed that Tesla has been in discussions about licensing its FSD to other automakers -- another route to long-term profitability.

Affordable EVs

I'll cut to the chase. If Tesla can make automated driving and robotaxis work, then there's only one winner here, and it's Tesla.

First, Ford is a long way from having a profitable EV business. For example, its Model E segment lost $5.1 billion in 2024, and then $849 million in the first quarter of 2025. Ford sold 22,550 EVs in the first quarter, implying it lost almost $38,000 on every EV sold. Moreover, its EV models, the Mustang Mach-E, the F-150 Lightning, and the E-Transit, are far from being affordable EVs.

In contrast, Tesla generated $7.1 billion in operating profit in 2024. Despite losing market share amid declining sales, it still dominated the U.S. market, holding 43.5% of the market in the first quarter of 2025. Ford was a distant second with 7.7%.

Both Ford and Tesla are planning to release low-cost models in the future, but given Ford's ongoing losses, Tesla's profitability, and its ability to lower its average cost per car, down from above $38,000 in early 2023 to below $35,000 in late 2024, the latter looks far better positioned to do so sustainably.

Robotaxis and FSD

Ford backed off its robotaxi/FSD plans in 2022, following the shutdown of Argo AI by Ford and Volkswagen after years of heavy investment. The company had been created to develop the technology and received billions of dollars in investment from Ford and Volkswagen. For reference, General Motors has also ended robotaxi development.

In contrast, Tesla is preparing for the official launch of its unsupervised FSD/robotaxi service in Austin, Texas, this month, and it may be live by the time you read this article. While the launch will be small and highly contained, it still marks the birth of Tesla's robotaxi offering. Musk believes Tesla will have a dedicated, low-cost robotaxi, the Cybercab, in volume production by 2026.

Indeed, Ford may end up licensing FSD from Tesla, and to his great credit, Farley has indicated an openness to partnering on FSD.

Ford or Tesla?

There is no guarantee that Tesla's robotaxi or FSD will be successful, and investors need to closely monitor events. Moreover, Musk has a history of being overly optimistic on such matters.

That said, the major automakers have been and are still pursuing the idea of lower-cost EVs and robotaxis and automated driving, and currently, Tesla remains the best-positioned company to meet those aims. It's where the industry wants to be, and Tesla is in pole position.",2025-06-21 20:05:00
finance.yahoo.com,https://finance.yahoo.com/news/4-most-expensive-things-elon-150305790.html?.tsrc=rss,"Though he may have had a rough year politically, financially, Elon Musk is still doing just fine. The former “first buddy” to President Trump and owner of SpaceX and Tesla, is currently the richest man in the world. His net worth is roughly $410 billion, and having nearly half a trillion dollars can understandably afford you some luxuries.

Trending Now: 7 Signs You’re Quietly Getting Rich, According to Frugal Living Expert Austin Williams

Up Next: 8 Common Mistakes Retirees Make With Their Social Security Checks

To put that in perspective, here are some of the most expensive items Musk could buy and still keep his billionaire status.

Titan Zeus 370-Inch 4K TV

Price: $1.7 million

For a lot of people, a 65-inch TV is the perfect size, but a billionaire 400 times over can afford a TV that’s much bigger. The Titan Zeus 370-inch 4K TV retails for a whopping $1.7 million, per Uncrate. According to Prestige, it’s among the most expensive TVs ever made.

Musk could buy over 200,000 of these seemingly unreasonably priced televisions and still be a billionaire. He could also buy over 90,000 of them and still be the richest man in the world based on current net worths, which show Larry Ellison in second place at $250 billion.

Find Out: Here’s the Minimum Net Worth To Be Considered Upper Class in Your 50s

2025 Rimac Nevera R

Price: $2.5 million

It’s no secret Musk is a big fan of electric vehicles given his ownership of Tesla, but even he might be impressed by the Rimac Nevera, which is among the most expensive cars on the market, per U.S. News & World Report. With up to 2,107 horsepower and a zero-to-60-mph time of just 1.85 seconds, this $2.5 million hypercar pushes EV performance to the extreme.

Musk could buy over 120,000 of these cars and still be considered a billionaire more than 50 times over.

Gordon Pointe Estate

Price: $295 million

Musk could afford the most expensive home listed on the market in the U.S. and barely notice. The estate in Naples, Florida, known as Gordon Pointe, was originally listed for $295 million. It comes with three residences, a yacht basin, a dock and nearly 1,700 feet of waterfront, per Realtor.com.

Musk could afford to purchase 1,000 estates at the same price point and still be in the billionaires club.

Leonardo da Vinci’s ‘Salvator Mundi’

Price: $450.3 million",2025-06-21 20:04:07
finance.yahoo.com,https://finance.yahoo.com/news/tesla-nasdaqgs-tsla-set-enter-172019783.html?.tsrc=rss,"Tesla is set to make a significant shift, entering the Indian market in July 2025 with new showrooms. This expansion comes at a time when the company's stock price rose by 30% over the last quarter, amid flat market performance in the past week and a 10% rise over the past year. The entry into India is aimed at countering declining sales in Europe and China, which could have influenced investor sentiment. Despite challenges such as a recent lawsuit and executive changes, this regional expansion might add weight to the broader market uptrend.

Tesla has 2 risks we think you should know about.

The best AI stocks today may lie beyond giants like Nvidia and Microsoft. Find the next big opportunity with these 27 smaller AI-focused companies with strong growth potential through early-stage innovation in machine learning, automation, and data intelligence that could fund your retirement.

The recent announcement of Tesla's expansion into the Indian market is a significant development that could influence its broader growth narrative. Despite facing challenges in other regions, this move may provide a new revenue stream, potentially mitigating some of the pressures from decreasing sales in Europe and China. Over the past five years, Tesla's shares have seen a very large total return of 403.51%, illustrating substantial long-term growth. When comparing to the previous year, Tesla's share return also surpassed the market, which returned 10%, and the US Auto industry, which posted a 60.9% gain over the past year. This suggests persistent investor confidence in Tesla, supporting its trajectory even amid short-term volatility.

The strategic entry into a new market such as India might bolster revenue and earnings forecasts, as analysts anticipate a 16.6% annual revenue growth over the next three years. However, potential risks including geopolitical uncertainties and leadership changes could impact execution. With Tesla's current share price at US$275.35, it is trading close to the analyst consensus price target of US$289.44, suggesting a modest upside of 4.9%. This share price movement reflects mixed sentiments among investors regarding the balance of growth potential and inherent risks. Tesla's diverse initiatives, ranging from autonomous vehicles to energy solutions, underline its pursuit of long-term profitability, suggesting a complex interplay of factors influencing its market position.

Gain insights into Tesla's outlook and expected performance with our report on the company's earnings estimates.",2025-06-21 17:20:19
www.fool.com,https://www.fool.com/investing/2025/06/21/is-lucid-group-a-millionaire-maker-stock/?.tsrc=rss,"Smaller stocks are ideal for investors willing to take additional risks for the potential for multi-bagger returns. With a stock price of just $2.22 (corresponding to a market cap of $6.77 billion), Lucid Group (LCID -1.35%) fits into this category. But the electric vehicle maker didn't get this cheap by accident. Let's dig deeper to see if it can overcome its operational challenges and generate massive wealth over the long term.

What went wrong for Lucid?

Looking at Lucid's stock price chart, it is clear that something went terribly wrong for the company. Shares have fallen by a whopping 96% from their all-time high of $58 (reached in early 2021), which means many early investors have been almost completely wiped out. The problem had a lot to do with macroeconomic factors outside management's control.

For starters, post-pandemic inflation caused the Federal Reserve to aggressively hike interest rates, making it harder for consumers to access credit to afford Lucid's high-priced sedans (the flagship Lucid Air starts at $71,400). Furthermore, EV demand began to slow as early adopters were reached and more competition entered the market.

Even the industry leader Tesla has faced pressure, with its automotive revenue dropping by 6% in 2024 -- before Elon Musk's overt political involvement made the situation even worse in 2025.

However, unlike Tesla, Lucid lacks the economies of scale to maintain profitability or keep losses under control, leading to spiraling cash burn. While first-quarter revenue grew by a respectable 36% year over year to $235 million, the company still burned through an eye-watering $692 million in just that quarter.

Lucid stays afloat through outside sources of capital, such as shareholder dilution (creating and selling more stock). But this has likely contributed to its underperformance.

Could Tesla's weakness be Lucid's strength?

Tesla's situation worsened in 2025, with first-quarter automotive sales dropping 20% year over year amid consumer boycotts and political backlash related to its CEO. This weakness could create an opportunity for Lucid to capture market share because it competes directly with Tesla's flagship Model S in the full-size luxury sedan segment.

This opportunity could be compounded by the possible passing of Trump's ""One Big, Beautiful Bill"" legislation, which aims to remove the $7,500 tax credit for EV purchases. According to CNN, the bill's current wording might exempt small players like Lucid, giving them a tremendous edge over their larger rivals -- although this legislation is still working its way through Congress, and nothing is finalized yet.

Trump's 25% tariff on foreign cars may also advantage Lucid by hurting imported luxury EVs from brands like Audi and Mercedes.

Is Lucid stock a buy?

Lucid definitely enjoys a lot of encouraging tailwinds from Tesla's political quagmire and Trump's trade and economic policies. That said, whether or not it turns into a millionaire-maker stock will probably depend on the rollout of its new SUV platform, Gravity, launched in late 2024.

Gravity is a make-or-break product for Lucid because SUVs tend to be more popular than sedans in the US. The vehicle likely contributed to Lucid's high top-line growth rate in the first quarter. And analysts seem optimistic that this trend can continue with a consensus estimate of Lucid hitting $1.4 billion in total revenue in 2025, which would represent a growth rate of 73.3%.",2025-06-21 14:00:00
